review_id,rating,review_text,review_date,reviewer_name,branch_name,category,sentiment_manual
1,4,Very average experience. Overpriced for the portion size.,6/21/2024,Rahul,"ChaiCofi, Kochi",,
2,5,Not worth the hype. Staff seemed uninterested.,6/3/2024,Saniya,"French Toast, Panampilly",,
3,3,Service was slow and the food was cold when served.,9/4/2024,Gokul,"Kashi Art Café, Fort Kochi",,
4,3,Loved the desserts here! Coffee was perfect.,12/28/2024,Joel,"Kashi Art Café, Fort Kochi",,
5,3,One of the best cafés in Kochi. Highly recommended!,9/7/2024,Merin,"Kashi Art Café, Fort Kochi",,
6,2,Not worth the hype. Staff seemed uninterested.,2/22/2024,Tina,"Kashi Art Café, Fort Kochi",,
7,5,Not worth the hype. Staff seemed uninterested.,10/28/2024,Ritu,"French Toast, Panampilly",,
8,1,Not worth the hype. Staff seemed uninterested.,7/6/2024,Adarsh,"Kashi Art Café, Fort Kochi",,
9,2,Service was slow and the food was cold when served.,11/22/2024,Sneha,"Kashi Art Café, Fort Kochi",,
10,5,Very average experience. Overpriced for the portion size.,11/12/2024,Adarsh,"Bloomsbury's, Kakkanad",,
11,1,Amazing place to chill. Strong coffee and good music.,2/22/2024,Alina,"Kashi Art Café, Fort Kochi",,
12,5,Very average experience. Overpriced for the portion size.,8/27/2024,Manu,"Bloomsbury's, Kakkanad",,
13,3,Small portions. Price doesn’t match quality.,5/25/2024,Joel,"ChaiCofi, Kochi",,
14,2,Service was slow and the food was cold when served.,1/14/2025,Ramesh,"Bloomsbury's, Kakkanad",,
15,5,Great food and lovely ambience. Service was quick.,9/29/2024,Sandeep,"ChaiCofi, Kochi",,
16,4,Crowded but food quality is really good.,8/10/2024,Kiran,"Bloomsbury's, Kakkanad",,
17,2,Not worth the hype. Staff seemed uninterested.,6/23/2024,Priya,"Bloomsbury's, Kakkanad",,
18,3,Perfect spot for brunch. Peaceful and aesthetic.,3/1/2024,Manu,"French Toast, Panampilly",,
19,4,One of the best cafés in Kochi. Highly recommended!,3/6/2025,Anjana,"French Toast, Panampilly",,
20,5,Crowded but food quality is really good.,1/26/2025,Sneha,"Kashi Art Café, Fort Kochi",,
21,5,One of the best cafés in Kochi. Highly recommended!,8/18/2024,Ramesh,"French Toast, Panampilly",,
22,2,Small portions. Price doesn’t match quality.,5/31/2024,Joseph,"ChaiCofi, Kochi",,
23,4,Service was slow and the food was cold when served.,12/11/2024,Lekshmi,"Bloomsbury's, Kakkanad",,
24,5,Small portions. Price doesn’t match quality.,3/12/2025,Saniya,"Kashi Art Café, Fort Kochi",,
25,4,Very average experience. Overpriced for the portion size.,10/15/2024,Arjun,"Kashi Art Café, Fort Kochi",,
26,5,Not worth the hype. Staff seemed uninterested.,11/5/2024,Akshay,"Kashi Art Café, Fort Kochi",,
27,1,Service was slow and the food was cold when served.,3/27/2024,Manu,"Kashi Art Café, Fort Kochi",,
28,5,Perfect spot for brunch. Peaceful and aesthetic.,3/2/2025,Akshay,"Bloomsbury's, Kakkanad",,
